azimuth,elevation,temperature,humidity,vPanel,vPyra
204.952,63.934,53.4,0.9,1.622,1.874
205.491,63.848,55.0,0.8,1.732,1.964
206.027,63.761,56.0,0.7,1.488,1.773
206.56,63.673,56.7,0.6,1.707,1.942
207.089,63.582,56.0,0.4,1.781,2.007
207.607,63.492,55.2,0.4,1.735,1.948
208.131,63.398,55.2,0.5,1.795,2.024
208.651,63.303,55.5,0.4,0.88,1.151
209.168,63.206,54.3,0.7,1.087,1.424
209.682,63.108,53.7,0.7,0.965,1.27
210.185,63.01,54.3,0.7,1.106,1.429
210.684,62.91,54.2,0.8,1.281,1.578
211.172,62.811,53.5,0.8,1.313,1.599
211.666,62.708,54.7,0.6,1.606,1.856
212.156,62.604,55.5,0.4,1.433,1.685
212.643,62.498,54.4,0.5,1.045,1.367
213.134,62.39,54.3,0.7,1.445,1.681
213.622,62.28,54.7,0.6,1.617,1.83
214.107,62.168,54.7,0.6,0.976,1.296
214.589,62.055,53.3,0.5,0.649,0.81
215.06,61.943,51.0,1.0,0.595,0.766
215.535,61.827,47.7,1.2,0.553,0.686
216.007,61.711,46.0,1.6,0.589,0.752
216.476,61.592,45.0,1.9,0.745,0.982
216.941,61.473,45.4,1.5,0.724,0.924
217.403,61.352,45.0,1.8,0.559,0.699
217.862,61.23,45.0,1.9,0.836,1.087
218.311,61.108,46.6,1.7,0.784,1.031
218.763,60.984,47.0,1.6,0.526,0.648
219.212,60.858,47.3,1.7,0.714,0.906
219.658,60.731,48.6,1.6,0.615,0.786
220.101,60.603,49.7,1.2,0.654,0.817
220.541,60.473,48.3,1.6,0.524,0.643
220.977,60.343,46.0,1.7,0.495,0.6
221.404,60.213,44.8,2.1,0.465,0.555
221.827,60.082,43.2,2.3,0.431,0.514
222.248,59.951,42.2,2.7,0.443,0.528
222.665,59.818,42.5,2.7,0.5,0.603
223.079,59.684,43.1,2.4,0.499,0.599
223.491,59.549,43.8,2.4,0.779,0.997
223.899,59.413,44.2,2.3,0.923,1.188
224.305,59.276,45.6,2.0,0.995,1.284
224.714,59.136,45.3,2.1,0.516,0.611
225.12,58.995,44.2,2.2,0.466,0.545
225.523,58.853,43.5,2.4,0.438,0.511
225.923,58.71,42.8,2.6,0.42,0.487
226.32,58.565,41.7,2.7,0.414,0.478
226.715,58.42,41.0,2.7,0.407,0.469
227.106,58.274,40.7,2.9,0.404,0.465
227.488,58.13,40.8,3.2,0.405,0.467
