created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2017-08-01 08:46:44 UTC,53,36.6,17.8,0.673,0.586,3.579,0.490,1.695
2017-08-01 08:47:47 UTC,54,36.8,18.2,0.583,0.547,3.580,0.490,1.695
2017-08-01 08:48:50 UTC,55,37.0,18.5,0.552,0.494,3.578,0.490,1.694
2017-08-01 08:49:53 UTC,56,37.0,18.0,0.548,0.512,3.582,0.490,1.695
2017-08-01 08:50:56 UTC,57,37.0,18.0,0.528,0.479,3.579,0.490,1.694
2017-08-01 08:51:58 UTC,58,36.8,18.3,0.498,0.447,3.578,0.490,1.695
2017-08-01 08:53:01 UTC,59,36.7,17.9,0.502,0.466,3.580,0.490,1.695
2017-08-01 08:54:04 UTC,60,36.8,17.6,0.933,0.928,3.610,0.490,1.695
2017-08-01 08:55:07 UTC,61,38.3,15.9,0.485,0.435,3.585,0.490,1.695
2017-08-01 08:56:09 UTC,62,37.8,15.5,0.723,0.671,3.596,0.490,1.695
2017-08-01 08:57:12 UTC,63,37.7,15.8,0.578,0.534,3.591,0.490,1.694
2017-08-01 08:58:14 UTC,64,38.2,15.5,0.873,0.822,3.609,0.490,1.694
2017-08-01 08:59:17 UTC,65,38.9,15.1,0.587,0.552,3.596,0.490,1.694
2017-08-01 09:00:20 UTC,66,39.0,15.3,0.501,0.463,3.589,0.490,1.694
2017-08-01 09:01:22 UTC,67,38.5,15.8,0.458,0.416,3.585,0.490,1.694
