azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7,azimuth8,elevation8,temperature8,humidity8,vPanel8,azimuth9,elevation9,temperature9,humidity9,vPanel9,azimuth10,elevation10,temperature10,humidity10,vPanel10,azimuth11,elevation11,temperature11,humidity11,vPanel11,azimuth12,elevation12,temperature12,humidity12,vPanel12,azimuth13,elevation13,temperature13,humidity13,vPanel13,azimuth14,elevation14,temperature14,humidity14,vPanel14
110.183,52.359,41.6,15.3,1.193,110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282
110.502,52.587,42.0,15.1,1.2,110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289
110.819,52.813,41.7,14.9,1.205,111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304
111.143,53.04,41.8,15.1,1.212,111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315
111.453,53.256,42.9,14.5,1.216,111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315,116.387,56.409,47.7,11.6,1.327
111.795,53.491,42.8,13.1,1.229,112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315,116.387,56.409,47.7,11.6,1.327,116.77,56.633,47.5,11.6,1.328
112.122,53.715,42.2,13.8,1.245,112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315,116.387,56.409,47.7,11.6,1.327,116.77,56.633,47.5,11.6,1.328,117.127,56.839,47.6,11.2,1.346
112.453,53.937,42.3,13.7,1.253,112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315,116.387,56.409,47.7,11.6,1.327,116.77,56.633,47.5,11.6,1.328,117.127,56.839,47.6,11.2,1.346,117.503,57.053,46.7,11.5,1.36
112.795,54.166,44.5,12.8,1.259,113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315,116.387,56.409,47.7,11.6,1.327,116.77,56.633,47.5,11.6,1.328,117.127,56.839,47.6,11.2,1.346,117.503,57.053,46.7,11.5,1.36,117.887,57.269,46.2,11.6,1.365
113.145,54.396,45.0,12.8,1.261,113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315,116.387,56.409,47.7,11.6,1.327,116.77,56.633,47.5,11.6,1.328,117.127,56.839,47.6,11.2,1.346,117.503,57.053,46.7,11.5,1.36,117.887,57.269,46.2,11.6,1.365,118.29,57.493,45.9,11.7,1.364
113.466,54.605,42.8,14.1,1.266,113.813,54.829,43.6,13.8,1.264,114.176,55.06,44.5,13.2,1.276,114.58,55.314,44.2,13.3,1.282,114.937,55.536,44.0,13.4,1.282,115.292,55.754,44.4,13.1,1.289,115.665,55.98,45.6,12.5,1.304,116.017,56.191,46.2,12.2,1.315,116.387,56.409,47.7,11.6,1.327,116.77,56.633,47.5,11.6,1.328,117.127,56.839,47.6,11.2,1.346,117.503,57.053,46.7,11.5,1.36,117.887,57.269,46.2,11.6,1.365,118.29,57.493,45.9,11.7,1.364,118.661,57.696,46.1,11.8,1.371
