azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4,azimuth5,elevation5,temperature5,humidity5,vPanel5,azimuth6,elevation6,temperature6,humidity6,vPanel6,azimuth7,elevation7,temperature7,humidity7,vPanel7
214.088,63.956,52.6,5.1,1.972,214.603,63.841,52.7,5.0,1.969,215.114,63.725,52.3,5.2,1.975,215.597,63.613,53.0,4.7,1.978,216.093,63.496,54.1,4.7,1.993,216.585,63.378,54.3,4.4,1.997,217.073,63.258,52.8,5.0,1.972,217.557,63.137,52.8,5.0,1.965
214.603,63.841,52.7,5.0,1.969,215.114,63.725,52.3,5.2,1.975,215.597,63.613,53.0,4.7,1.978,216.093,63.496,54.1,4.7,1.993,216.585,63.378,54.3,4.4,1.997,217.073,63.258,52.8,5.0,1.972,217.557,63.137,52.8,5.0,1.965,218.038,63.014,52.4,4.8,1.935
215.114,63.725,52.3,5.2,1.975,215.597,63.613,53.0,4.7,1.978,216.093,63.496,54.1,4.7,1.993,216.585,63.378,54.3,4.4,1.997,217.073,63.258,52.8,5.0,1.972,217.557,63.137,52.8,5.0,1.965,218.038,63.014,52.4,4.8,1.935,218.515,62.89,51.2,5.0,1.812
215.597,63.613,53.0,4.7,1.978,216.093,63.496,54.1,4.7,1.993,216.585,63.378,54.3,4.4,1.997,217.073,63.258,52.8,5.0,1.972,217.557,63.137,52.8,5.0,1.965,218.038,63.014,52.4,4.8,1.935,218.515,62.89,51.2,5.0,1.812,218.981,62.767,52.4,4.9,1.866
216.093,63.496,54.1,4.7,1.993,216.585,63.378,54.3,4.4,1.997,217.073,63.258,52.8,5.0,1.972,217.557,63.137,52.8,5.0,1.965,218.038,63.014,52.4,4.8,1.935,218.515,62.89,51.2,5.0,1.812,218.981,62.767,52.4,4.9,1.866,219.459,62.639,54.1,4.5,1.314
216.585,63.378,54.3,4.4,1.997,217.073,63.258,52.8,5.0,1.972,217.557,63.137,52.8,5.0,1.965,218.038,63.014,52.4,4.8,1.935,218.515,62.89,51.2,5.0,1.812,218.981,62.767,52.4,4.9,1.866,219.459,62.639,54.1,4.5,1.314,219.925,62.511,54.7,4.2,1.615
217.073,63.258,52.8,5.0,1.972,217.557,63.137,52.8,5.0,1.965,218.038,63.014,52.4,4.8,1.935,218.515,62.89,51.2,5.0,1.812,218.981,62.767,52.4,4.9,1.866,219.459,62.639,54.1,4.5,1.314,219.925,62.511,54.7,4.2,1.615,220.388,62.382,55.7,3.7,1.93
217.557,63.137,52.8,5.0,1.965,218.038,63.014,52.4,4.8,1.935,218.515,62.89,51.2,5.0,1.812,218.981,62.767,52.4,4.9,1.866,219.459,62.639,54.1,4.5,1.314,219.925,62.511,54.7,4.2,1.615,220.388,62.382,55.7,3.7,1.93,220.847,62.252,55.1,3.6,1.968
218.038,63.014,52.4,4.8,1.935,218.515,62.89,51.2,5.0,1.812,218.981,62.767,52.4,4.9,1.866,219.459,62.639,54.1,4.5,1.314,219.925,62.511,54.7,4.2,1.615,220.388,62.382,55.7,3.7,1.93,220.847,62.252,55.1,3.6,1.968,221.295,62.123,56.3,3.5,2.007
218.515,62.89,51.2,5.0,1.812,218.981,62.767,52.4,4.9,1.866,219.459,62.639,54.1,4.5,1.314,219.925,62.511,54.7,4.2,1.615,220.388,62.382,55.7,3.7,1.93,220.847,62.252,55.1,3.6,1.968,221.295,62.123,56.3,3.5,2.007,221.747,61.99,57.0,3.7,2.015
218.981,62.767,52.4,4.9,1.866,219.459,62.639,54.1,4.5,1.314,219.925,62.511,54.7,4.2,1.615,220.388,62.382,55.7,3.7,1.93,220.847,62.252,55.1,3.6,1.968,221.295,62.123,56.3,3.5,2.007,221.747,61.99,57.0,3.7,2.015,222.195,61.856,57.9,3.2,1.999
219.459,62.639,54.1,4.5,1.314,219.925,62.511,54.7,4.2,1.615,220.388,62.382,55.7,3.7,1.93,220.847,62.252,55.1,3.6,1.968,221.295,62.123,56.3,3.5,2.007,221.747,61.99,57.0,3.7,2.015,222.195,61.856,57.9,3.2,1.999,222.64,61.721,56.6,3.5,2.001
219.925,62.511,54.7,4.2,1.615,220.388,62.382,55.7,3.7,1.93,220.847,62.252,55.1,3.6,1.968,221.295,62.123,56.3,3.5,2.007,221.747,61.99,57.0,3.7,2.015,222.195,61.856,57.9,3.2,1.999,222.64,61.721,56.6,3.5,2.001,223.089,61.583,56.9,3.6,1.968
220.388,62.382,55.7,3.7,1.93,220.847,62.252,55.1,3.6,1.968,221.295,62.123,56.3,3.5,2.007,221.747,61.99,57.0,3.7,2.015,222.195,61.856,57.9,3.2,1.999,222.64,61.721,56.6,3.5,2.001,223.089,61.583,56.9,3.6,1.968,223.513,61.451,55.9,3.6,1.895
220.847,62.252,55.1,3.6,1.968,221.295,62.123,56.3,3.5,2.007,221.747,61.99,57.0,3.7,2.015,222.195,61.856,57.9,3.2,1.999,222.64,61.721,56.6,3.5,2.001,223.089,61.583,56.9,3.6,1.968,223.513,61.451,55.9,3.6,1.895,223.947,61.312,54.8,3.9,1.834
221.295,62.123,56.3,3.5,2.007,221.747,61.99,57.0,3.7,2.015,222.195,61.856,57.9,3.2,1.999,222.64,61.721,56.6,3.5,2.001,223.089,61.583,56.9,3.6,1.968,223.513,61.451,55.9,3.6,1.895,223.947,61.312,54.8,3.9,1.834,224.378,61.173,54.9,3.8,1.784
221.747,61.99,57.0,3.7,2.015,222.195,61.856,57.9,3.2,1.999,222.64,61.721,56.6,3.5,2.001,223.089,61.583,56.9,3.6,1.968,223.513,61.451,55.9,3.6,1.895,223.947,61.312,54.8,3.9,1.834,224.378,61.173,54.9,3.8,1.784,224.806,61.033,55.9,3.7,1.769
222.195,61.856,57.9,3.2,1.999,222.64,61.721,56.6,3.5,2.001,223.089,61.583,56.9,3.6,1.968,223.513,61.451,55.9,3.6,1.895,223.947,61.312,54.8,3.9,1.834,224.378,61.173,54.9,3.8,1.784,224.806,61.033,55.9,3.7,1.769,225.224,60.894,54.9,4.0,1.77
222.64,61.721,56.6,3.5,2.001,223.089,61.583,56.9,3.6,1.968,223.513,61.451,55.9,3.6,1.895,223.947,61.312,54.8,3.9,1.834,224.378,61.173,54.9,3.8,1.784,224.806,61.033,55.9,3.7,1.769,225.224,60.894,54.9,4.0,1.77,225.645,60.751,55.9,3.7,1.745
223.089,61.583,56.9,3.6,1.968,223.513,61.451,55.9,3.6,1.895,223.947,61.312,54.8,3.9,1.834,224.378,61.173,54.9,3.8,1.784,224.806,61.033,55.9,3.7,1.769,225.224,60.894,54.9,4.0,1.77,225.645,60.751,55.9,3.7,1.745,226.063,60.608,56.7,3.7,1.743
223.513,61.451,55.9,3.6,1.895,223.947,61.312,54.8,3.9,1.834,224.378,61.173,54.9,3.8,1.784,224.806,61.033,55.9,3.7,1.769,225.224,60.894,54.9,4.0,1.77,225.645,60.751,55.9,3.7,1.745,226.063,60.608,56.7,3.7,1.743,226.471,60.466,57.7,3.4,1.751
223.947,61.312,54.8,3.9,1.834,224.378,61.173,54.9,3.8,1.784,224.806,61.033,55.9,3.7,1.769,225.224,60.894,54.9,4.0,1.77,225.645,60.751,55.9,3.7,1.745,226.063,60.608,56.7,3.7,1.743,226.471,60.466,57.7,3.4,1.751,226.882,60.32,58.7,3.5,1.795
