azimuth0,elevation0,temperature0,humidity0,vPanel0,azimuth1,elevation1,temperature1,humidity1,vPanel1,azimuth2,elevation2,temperature2,humidity2,vPanel2,azimuth3,elevation3,temperature3,humidity3,vPanel3,azimuth4,elevation4,temperature4,humidity4,vPanel4
196.857,67.836,52.7,9.3,1.727,197.485,67.778,52.1,9.2,1.728,198.12,67.717,52.3,9.3,1.724,198.751,67.654,54.5,8.4,1.72,199.38,67.588,56.3,7.9,1.716
197.485,67.778,52.1,9.2,1.728,198.12,67.717,52.3,9.3,1.724,198.751,67.654,54.5,8.4,1.72,199.38,67.588,56.3,7.9,1.716,200.035,67.518,56.9,7.7,1.718
198.12,67.717,52.3,9.3,1.724,198.751,67.654,54.5,8.4,1.72,199.38,67.588,56.3,7.9,1.716,200.035,67.518,56.9,7.7,1.718,200.637,67.45,57.7,7.3,1.71
198.751,67.654,54.5,8.4,1.72,199.38,67.588,56.3,7.9,1.716,200.035,67.518,56.9,7.7,1.718,200.637,67.45,57.7,7.3,1.71,201.266,67.378,56.3,7.8,1.709
199.38,67.588,56.3,7.9,1.716,200.035,67.518,56.9,7.7,1.718,200.637,67.45,57.7,7.3,1.71,201.266,67.378,56.3,7.8,1.709,201.89,67.303,57.1,7.6,1.71
200.035,67.518,56.9,7.7,1.718,200.637,67.45,57.7,7.3,1.71,201.266,67.378,56.3,7.8,1.709,201.89,67.303,57.1,7.6,1.71,202.473,67.231,57.2,7.7,1.723
200.637,67.45,57.7,7.3,1.71,201.266,67.378,56.3,7.8,1.709,201.89,67.303,57.1,7.6,1.71,202.473,67.231,57.2,7.7,1.723,203.081,67.153,56.9,7.5,1.73
201.266,67.378,56.3,7.8,1.709,201.89,67.303,57.1,7.6,1.71,202.473,67.231,57.2,7.7,1.723,203.081,67.153,56.9,7.5,1.73,203.676,67.075,57.5,7.4,1.732
201.89,67.303,57.1,7.6,1.71,202.473,67.231,57.2,7.7,1.723,203.081,67.153,56.9,7.5,1.73,203.676,67.075,57.5,7.4,1.732,204.276,66.994,56.0,7.8,1.731
202.473,67.231,57.2,7.7,1.723,203.081,67.153,56.9,7.5,1.73,203.676,67.075,57.5,7.4,1.732,204.276,66.994,56.0,7.8,1.731,204.873,66.911,55.9,8.0,1.724
203.081,67.153,56.9,7.5,1.73,203.676,67.075,57.5,7.4,1.732,204.276,66.994,56.0,7.8,1.731,204.873,66.911,55.9,8.0,1.724,205.476,66.824,56.4,7.8,1.729
203.676,67.075,57.5,7.4,1.732,204.276,66.994,56.0,7.8,1.731,204.873,66.911,55.9,8.0,1.724,205.476,66.824,56.4,7.8,1.729,206.056,66.739,57.0,7.7,1.725
204.276,66.994,56.0,7.8,1.731,204.873,66.911,55.9,8.0,1.724,205.476,66.824,56.4,7.8,1.729,206.056,66.739,57.0,7.7,1.725,206.632,66.651,58.2,7.3,1.721
